Curve Name,Name,Curve Formula,A,B,C,D,R2,Fit F Prob,Plate Number,Plate ID,Virus,Global.Name
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,-1.27829,1.35595,1298.54,364.626,0.987665,0.177,Plate 01,P1V1,V1_H1N2v Example 1,2018-093
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-1.8877,1.60513,301.683,336.502,0.986298,0.821,Plate 01,P1V1,V1_H1N2v Example 1,2018-094
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,5.12953,1.49003,538.342,366.892,0.990233,0.679,Plate 02,P2V1,V1_H1N2v Example 1,CDC-23-A
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-64.0245,0.977488,115.335,387.226,0.953174,0.446,Plate 02,P2V1,V1_H1N2v Example 1,CDC-23-B
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,3.1496,1.50247,170.373,318.226,0.970062,0.025,Plate 03,P3V1,V1_H1N2v Example 1,2025-085
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-82.5672,0.665806,138.447,463.483,0.888134,0.00937,Plate 03,P3V1,V1_H1N2v Example 1,2025-086
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,6.70535,1.6177,1190.6,355.378,0.890995,0.929,Plate 04,P1V2,V2_H1N2v  Example 2,2018-093
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-70.1153,0.683696,691.381,628.783,0.723834,0.307,Plate 04,P1V2,V2_H1N2v  Example 2,2018-094
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,4.43024,1.33697,5934.84,589.935,0.946947,0.998,Plate 05,P2V2,V2_H1N2v  Example 2,CDC-23-A
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,0.6775,1.33376,2355.73,635.928,0.917737,0.922,Plate 05,P2V2,V2_H1N2v  Example 2,CDC-23-B
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,5.37606,1.498,835.956,289.59,0.928539,0.328,Plate 06,P3V2,V2_H1N2v  Example 2,2025-085
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-58.6572,0.626653,2133.69,519.639,0.740111,0.0577,Plate 06,P3V2,V2_H1N2v  Example 2,2025-086
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,4.87,1.16761,371.327,430.27,0.966622,0.823,Plate 07,P1V3,V3_H1N2v Example 3,2018-093
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-35.3691,1.13897,107.116,416.647,0.977474,0.0858,Plate 07,P1V3,V3_H1N2v Example 3,2018-094
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,20.8214,1.61021,281.163,360.32,0.957562,0.241,Plate 08,P2V3,V3_H1N2v Example 3,CDC-23-A
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-15.0533,1.29351,97.4778,305.14,0.979358,0.269,Plate 08,P2V3,V3_H1N2v Example 3,CDC-23-B
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,-17.1797,1.52369,44.6083,355.081,0.786911,0.891,Plate 09,P3V3,V3_H1N2v Example 3,2025-085
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-45.1394,0.990181,73.7616,286.934,0.974467,0.0346,Plate 09,P3V3,V3X2_H1N2v Example 3,2025-086
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,28.2308,1.63625,366.09,947.695,0.991456,0.000445,Plate 10,P1V3 x2,V3X2_H1N2v Example 3,2018-093
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,41.7405,2.00955,133.451,952.36,0.987993,0.38,Plate 10,P1V3 x2,V3X2_H1N2v Example 3,2018-094
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,15.3498,1.41232,305.95,694.94,0.923416,0.999,Plate 11,P2V3 x2,V3X2_H1N2v Example 3,CDC-23-A
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,-115.795,0.989008,90.4785,654.103,0.945448,0.788,Plate 11,P2V3 x2,V3X2_H1N2v Example 3,CDC-23-B
DRCurve_Sera1,Sera1,Y = (A-D)/(1+(X/C)^B) + D,-37.683,1.7037,40.2057,669.805,0.851443,0.899,Plate 12,P3V3 x2,V3X2_H1N2v Example 3,2025-085
DRCurve_Sera2,Sera2,Y = (A-D)/(1+(X/C)^B) + D,21.289,0.648831,120.857,615.891,0.793216,9.43E-08,Plate 12,P3V3 x2,V3X2_H1N2v Example 3,2025-086
